STATE,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_EXPENDITURE
North Carolina,2004,1325707,10569600,10263463
North Dakota,2004,101889,925393,957480
Ohio,2004,1797666,18878773,19375400
Oklahoma,2004,625826,4622080,4400069
Oregon,2004,549196,5086083,5393871
Pennsylvania,2004,1756012,21104028,22054811
Rhode Island,2004,156997,1836758,1745707
South Carolina,2004,696376,5961494,6138231
South Dakota,2004,125156,1007135,1012096
Tennessee,2004,911624,6349101,6738601
Texas,2004,4267330,36055119,38150452
Utah,2004,487311,2997200,3066684
Vermont,2004,93705,1525776,1550157
Virginia,2004,1191035,11151172,11404055
Washington,2004,1020990,8790531,9009980
West Virginia,2004,280561,2585084,2603996
Wisconsin,2004,874233,9183588,9126345
Wyoming,2004,86925,974888,953916
Alabama,2005,729342,5889966,5904664
Alaska,2005,132568,1599739,1751718
Arizona,2005,919875,7550109,7136794
Arkansas,2005,461667,3978240,3999608
California,2005,6307022,62171797,66196072
Colorado,2005,765388,6910296,7284280
Connecticut,2005,552512,7898694,7452057
Delaware,2005,112562,1431710,1480157
District of Columbia,2005,62306,1109605,1085658
Florida,2005,2645280,23216404,23857012
Georgia,2005,1552758,14724731,14492666
Hawaii,2005,183185,2274166,1765805
Idaho,2005,253782,1796035,1819519
Illinois,2005,2072437,21611180,22035569
Indiana,2005,1014528,11653165,11071431
Iowa,2005,478319,4638125,4599549
Kansas,2005,468481,4223632,4076597
Kentucky,2005,674502,5444309,5750671
Louisiana,2005,717625,5975074,5941561
Maine,2005,198745,2324789,2325138
Maryland,2005,865561,9906219,9782665
Massachusetts,2005,955225,12976279,12726283
Michigan,2005,1721351,19106382,20489512
Minnesota,2005,814660,8777363,9082593
Mississippi,2005,494382,3639643,3610904
Missouri,2005,902659,8340865,8170965
Montana,2005,146552,1293070,1268328
Nebraska,2005,284553,2895640,2708776
Nevada,2005,399727,3381646,3483540
New Hampshire,2005,202223,2332695,2333264
New Jersey,2005,1368959,23026334,23023365
New Mexico,2005,326102,2982991,3011696
New York,2005,2816426,43936450,45086872
North Carolina,2005,1347177,11098165,10917913
North Dakota,2005,100413,969520,985502
Ohio,2005,1778784,19746239,19785561
Oklahoma,2005,629145,4892548,4785987
Oregon,2005,550502,5022050,5597579
Pennsylvania,2005,1755560,22657782,23183924
Rhode Island,2005,153596,1903472,1790591
South Carolina,2005,701176,6337711,6572191
South Dakota,2005,124862,1053504,1059303
Tennessee,2005,940769,6806262,7067521
Texas,2005,4334611,37783715,40302144
Utah,2005,488055,3181279,3188018
Vermont,2005,92819,1628681,1634534
Virginia,2005,1203697,12182657,12385157
Washington,2005,1019925,9141383,9399603
West Virginia,2005,279456,2701056,2698703
Wisconsin,2005,869301,9584108,9433502
Wyoming,2005,84146,1132160,1033603
Alabama,2006,743265,6364028,6591429
Alaska,2006,132893,1625138,1817656
Arizona,2006,947266,8084068,7934177
Arkansas,2006,472609,4247664,4343877
California,2006,6295994,66302860,68722432
Colorado,2006,778842,7295561,7803324
Connecticut,2006,549744,8436197,7982143
Delaware,2006,114371,1544615,1646885
District of Columbia,2006,59616,1092863,1081887
Florida,2006,2663973,25423686,26609155
Georgia,2006,1597682,16165924,15839227
Hawaii,2006,182818,2705532,1939968
Idaho,2006,258314,1875346,1903720
Illinois,2006,2097585,22724326,22622323
Indiana,2006,1026106,11578988,11260755
Iowa,2006,483482,4898509,4930613
Kansas,2006,467279,4648920,4439000
Kentucky,2006,679621,6002056,6112978
Louisiana,2006,648313,6780668,6032182
Maine,2006,195675,2381908,2381439
Maryland,2006,860021,10697117,10585292
Massachusetts,2006,949951,14160242,13503621
Michigan,2006,1714416,19714584,20626758
Minnesota,2006,812040,9314477,9671933
Mississippi,2006,493952,4279581,4066036
Missouri,2006,913765,8846493,8654672
Montana,2006,145259,1375638,1377599
Nebraska,2006,285547,3107061,2867250
Nevada,2006,412747,3691628,4022979
New Hampshire,2006,201044,2459051,2494247
New Jersey,2006,1371155,23915685,24177714
New Mexico,2006,326761,3094036,3099738
New York,2006,2787366,47018793,48359774
North Carolina,2006,1378306,11709885,11725031
North Dakota,2006,98172,1008339,1017084
Ohio,2006,1769200,20957714,20589584
Oklahoma,2006,634468,5120286,5094695
Oregon,2006,556185,5429145,5386128
Pennsylvania,2006,1752402,23950553,24195122
Rhode Island,2006,150112,2004709,1983578
South Carolina,2006,699027,6752813,7148083
South Dakota,2006,121718,1086433,1052315
Tennessee,2006,953514,7195519,7395357
Texas,2006,4450272,41142403,43394244
Utah,2006,496507,3381146,3371338
Vermont,2006,90850,1725093,1711762
Virginia,2006,1213616,13153845,13481336
Washington,2006,1031668,9679682,9915617
West Virginia,2006,279788,2814536,2852607
Wisconsin,2006,869596,9855692,9779642
Wyoming,2006,86155,1150345,1146527
Alabama,2007,743273,7069040,7196459
Alaska,2007,132197,1800616,1938755
Arizona,2007,969875,8724434,8709531
Arkansas,2007,474532,4415981,4779308
California,2007,6288686,72516936,73225422
Colorado,2007,790211,7689014,8039146
Connecticut,2007,549230,8913149,8685421
Delaware,2007,114678,1694929,1705204
District of Columbia,2007,56943,1148358,1140506
Florida,2007,2656176,28898362,29849892
Georgia,2007,1628409,17755989,17389530
Hawaii,2007,180728,2985593,2199604
Idaho,2007,262935,2011951,1960472
Illinois,2007,2101075,23897153,23401917
Indiana,2007,1034588,10458932,11462062
Iowa,2007,483122,5194536,5198975
Kansas,2007,468974,5038100,4823931
Kentucky,2007,646360,6226696,6351636
Louisiana,2007,662302,7048732,6657341
Maine,2007,193539,2538161,2501127
Maryland,2007,851640,11674965,11541225
Massachusetts,2007,945070,14407777,14315518
Michigan,2007,1686473,20576110,19839838
Minnesota,2007,810104,9693509,10030105
Mississippi,2007,494135,4220926,4158733
Missouri,2007,910142,8908844,9245525
Montana,2007,144258,1474306,1442434
Nebraska,2007,287135,3234014,3117931
Nevada,2007,422782,4006081,4346371
New Hampshire,2007,198625,2600123,2608190
New Jersey,2007,1363804,25293076,25572112
New Mexico,2007,327816,3272953,3279467
New York,2007,2754976,50762544,51253984
North Carolina,2007,1416028,13063307,12794086
North Dakota,2007,96577,1045678,1042175
Ohio,2007,1758645,22142424,21336580
Oklahoma,2007,639032,5491931,5505213
Oregon,2007,559643,5648586,5634955
Pennsylvania,2007,1760451,25334577,25627083
Rhode Island,2007,147861,2100679,2082332
South Carolina,2007,701580,7130274,7660995
South Dakota,2007,121158,1136570,1096568
Tennessee,2007,978084,7617488,7817659
Texas,2007,4513835,44355326,45920825
Utah,2007,504079,3656090,3618540
Vermont,2007,89329,1836316,1804519
Virginia,2007,1220440,14176385,14700853
Washington,2007,1026121,10350748,10682397
West Virginia,2007,281298,2905489,2983267
Wisconsin,2007,870584,10154985,9988878
Wyoming,2007,85034,1477891,1390344
Alabama,2008,742919,7726213,7847387
Alaska,2008,130624,2188587,2274819
Arizona,2008,987332,9272152,9581201
Arkansas,2008,476110,4608356,4720720
California,2008,6258421,74626928,76618865
Colorado,2008,796824,8070129,8884786
Connecticut,2008,544417,9322225,9046750
Delaware,2008,114062,1694998,1746925
District of Columbia,2008,58191,1224312,1224785
Florida,2008,2645680,30001821,31219589
Georgia,2008,1646010,18683630,19172087
Hawaii,2008,179897,2541703,2242408
Idaho,2008,265844,2151476,2001328
Illinois,2008,2099118,25431714,25696866
Indiana,2008,1033329,11340157,10865851
Iowa,2008,485114,5496908,5495756
Kansas,2008,467743,5378095,5122049
Kentucky,2008,666019,6637062,6793215
Louisiana,2008,662971,7751886,7599993
Maine,2008,193058,2594335,2582293
Maryland,2008,845700,13098112,12739693
Massachusetts,2008,937677,14633578,14631545
Michigan,2008,1661936,20441973,20703780
Minnesota,2008,807929,10118118,10462624
Mississippi,2008,493302,4449009,4363308
Missouri,2008,898350,9335599,9900419
Montana,2008,142695,1562815,1557678
Nebraska,2008,290912,3383157,3325663
Nevada,2008,428776,4338601,4881218
New Hampshire,2008,195668,2715463,2715961
New Jersey,2008,1353191,25916004,26168480
New Mexico,2008,329045,3569311,3599724
New York,2008,2727552,53147343,54870811
North Carolina,2008,1408316,13610326,13731201
North Dakota,2008,94959,1104803,1085970
Ohio,2008,1743920,22746589,21951104
Oklahoma,2008,641682,5780151,5667749
Oregon,2008,562632,6107684,6407512
Pennsylvania,2008,1718588,26357235,26597713
Rhode Island,2008,143812,2173888,2175172
South Carolina,2008,710685,7743317,8167262
South Dakota,2008,121606,1190917,1172715
Tennessee,2008,966963,8086152,8488521
Texas,2008,4581517,46245975,50205827
Utah,2008,556314,4198001,4337917
Vermont,2008,87919,1888635,1888133
Virginia,2008,1230857,14768120,15236306
Washington,2008,1029576,11195224,11677666
West Virginia,2008,281735,2965828,3068910
Wisconsin,2008,867929,10619354,10545964
Wyoming,2008,85991,1602514,1517325
Alabama,2009,745668,7186390,7815467
Alaska,2009,130236,2158970,2396412
Arizona,2009,981303,8802515,9580393
Arkansas,2009,474423,4753142,5017352
California,2009,6234155,73958896,74766086
Colorado,2009,812068,8310673,8682489
Connecticut,2009,539250,9681268,9323053
Delaware,2009,116804,1718993,1798244
District of Columbia,2009,44331,801008,805362
Florida,2009,2623067,26494500,28867429
Georgia,2009,1649598,17972839,19025136
Hawaii,2009,179478,2689758,2318671
Idaho,2009,267951,2182273,2078446
Illinois,2009,2117291,26987426,27716187
Indiana,2009,1028259,12999357,11218398
Iowa,2009,487559,5732319,5732186
Kansas,2009,470445,5615208,5827751
Kentucky,2009,669858,6706922,6831006
Louisiana,2009,662774,7984550,8053960
Maine,2009,187372,2623127,2624504
Maryland,2009,843781,13147931,12757599
Massachusetts,2009,932437,15298022,15174814
Michigan,2009,1537515,19616665,19992550
Minnesota,2009,800831,10353784,11193640
Mississippi,2009,491194,4392101,4552756
Missouri,2009,893807,9472520,10227305
Montana,2009,141782,1607935,1622485
Nebraska,2009,292161,3522481,3523803
Nevada,2009,430985,4442101,4577881
New Hampshire,2009,197024,2816162,2757401
New Jersey,2009,1354912,26510413,26145334
New Mexico,2009,328737,3703477,3945515
New York,2009,2696688,55885116,57851481
North Carolina,2009,1452064,15410564,14868070
North Dakota,2009,94653,1150142,1137260
Ohio,2009,1729072,22779344,22427481
Oklahoma,2009,644549,6029807,5941799
Oregon,2009,560726,6158756,6715011
Pennsylvania,2009,1687145,26755585,27328680
Rhode Island,2009,141521,2179714,2171376
South Carolina,2009,714290,7669733,8427391
South Dakota,2009,126624,1258876,1273527
Tennessee,2009,971484,8112895,8611178
Texas,2009,4647205,48087531,53575273
Utah,2009,532433,4238943,4419750
Vermont,2009,86320,1683034,1661019
Virginia,2009,1235064,15251481,15510318
Washington,2009,1035907,12025012,12240632
West Virginia,2009,281908,3097212,3121728
Wisconsin,2009,867035,10991081,10880480
Wyoming,2009,86971,1675761,1658156
Alabama,2010,748889,7281058,7647571
Alaska,2010,131265,2230338,2371251
Arizona,2010,963517,8828122,8812967
Arkansas,2010,474897,5069272,5520387
California,2010,6213958,67356719,71227111
Colorado,2010,825242,8793676,8914338
Connecticut,2010,534800,9726922,9542108
Delaware,2010,117628,1733458,1758988
District of Columbia,2010,43866,1195934,1290048
Florida,2010,2627390,26231141,27267009
Georgia,2010,1660643,17839851,17834488
Hawaii,2010,180196,2564856,2215458
Idaho,2010,266613,2177999,2098737
Illinois,2010,2098401,28253620,28560306
Indiana,2010,1026053,14023240,11502534
Iowa,2010,491255,5744872,5941449
Kansas,2010,471406,5454128,5979429
Kentucky,2010,679901,6881951,7092071
Louisiana,2010,663802,8091029,8125021
Maine,2010,187634,2721365,2680693
Maryland,2010,848252,13327770,13205691
Massachusetts,2010,929569,14919763,14857823
Michigan,2010,1510716,19393461,19967017
Minnesota,2010,799615,10383935,10564774
Mississippi,2010,491651,4466377,4504257
Missouri,2010,897348,9587703,10139784
Montana,2010,141693,1623971,1642886
Nebraska,2010,294948,3720560,3640199
Nevada,2010,423859,4262471,4260869
New Hampshire,2010,196648,2906573,2856965
New Jersey,2010,1369553,26676217,26736651
New Mexico,2010,331436,3638606,3814058
New York,2010,2697357,55453300,60067253
North Carolina,2010,1444409,16621268,14162497
North Dakota,2010,94997,1308214,1267426
Ohio,2010,1669748,23247907,22701333
Oklahoma,2010,653592,5778507,5971651
Oregon,2010,560239,6219779,6398065
Pennsylvania,2010,1682887,27883991,28231191
Rhode Island,2010,141023,2207123,2187163
South Carolina,2010,715590,7755419,8242553
South Dakota,2010,123555,1292742,1281632
Tennessee,2010,971414,8405025,8760367
Texas,2010,4728815,50559500,53810244
Utah,2010,538676,4250259,4326951
Vermont,2010,87750,1749898,1719870
Virginia,2010,1244673,14937195,14919831
Washington,2010,1034735,11919090,11820814
West Virginia,2010,281828,3176874,3484593
Wisconsin,2010,864898,11289720,11116821
Wyoming,2010,87379,1718605,1696177
Alabama,2011,746933,7376725,7411768
Alaska,2011,131704,2357828,2443898
Arizona,2011,946571,8429186,8610417
Arkansas,2011,475551,5176362,5669431
California,2011,6202604,70953331,69847705
Colorado,2011,834832,8747471,8676451
Connecticut,2011,530132,9783168,9439182
Delaware,2011,119878,1759170,1808905
District of Columbia,2011,44199,1283071,1297175
Florida,2011,2636404,26453693,26991946
Georgia,2011,1666039,18030043,17187481
Hawaii,2011,179601,2499513,2259104
Idaho,2011,265713,2089982,1960818
Illinois,2011,2072114,29507584,28525858
Indiana,2011,1023220,12125155,11113533
Iowa,2011,493493,6098470,6057294
Kansas,2011,482692,5538869,5662146
Kentucky,2011,672958,7104589,7253850
Louisiana,2011,665109,8022917,8218870
Maine,2011,186835,2654366,2728535
Maryland,2011,851971,13443940,13247697
Massachusetts,2011,924903,15396681,15150898
Michigan,2011,1455966,19374026,18469948
Minnesota,2011,798891,10912368,10612480
Mississippi,2011,490526,4516742,4345783
Missouri,2011,896702,9915356,9842505
Montana,2011,141529,1631810,1655584
Nebraska,2011,297659,3879388,3676326
Nevada,2011,429610,4146577,4258855
New Hampshire,2011,189275,2947007,3001244
New Jersey,2011,1399409,26242376,25716298
New Mexico,2011,331373,3591330,3694437
New York,2011,2677412,57753776,59446908
North Carolina,2011,1448117,14409515,13767024
North Dakota,2011,96255,1309044,1312226
Ohio,2011,1655534,23488657,23010396
Oklahoma,2011,658163,5835133,5644988
Oregon,2011,559631,6112484,6317635
Pennsylvania,2011,1670854,28492510,28810721
Rhode Island,2011,139157,2212352,2198940
South Carolina,2011,713511,7772777,7961448
South Dakota,2011,125613,1297661,1350617
Tennessee,2011,986382,8679893,8961443
Texas,2011,4800196,51023159,52691826
Utah,2011,545395,4141253,4195916
Vermont,2011,86982,1686499,1722515
Virginia,2011,1250852,14655345,14675815
Washington,2011,1042979,11905941,11928408
West Virginia,2011,282130,3475642,3670119
Wisconsin,2011,864251,11664303,11440718
Wyoming,2011,88165,1650621,1656850
Alabama,2012,744621,7136949,7222161
Alaska,2012,130771,2383402,2483320
Arizona,2012,942738,7934798,8054662
Arkansas,2012,475671,5169926,5299969
California,2012,6203034,69016392,70191877
Colorado,2012,843120,8616009,8472536
Connecticut,2012,522451,10070907,9791336
Delaware,2012,118624,1855867,1915966
District of Columbia,2012,44618,1331006,1189542
Florida,2012,2658559,24139266,25352047
Georgia,2012,1669156,17559894,17400209
Hawaii,2012,182706,2535038,2344733
Idaho,2012,267556,1981482,1911706
Illinois,2012,2071481,29900021,29067543
Indiana,2012,1006627,12395432,11351906
Iowa,2012,495870,6262807,6256926
Kansas,2012,485591,5613619,5615714
Kentucky,2012,681827,7192430,7444529
Louisiana,2012,665478,8477993,8504567
Maine,2012,187247,2611056,2625759
Maryland,2012,853778,13752912,13212140
Massachusetts,2012,922683,15763456,15696061
Michigan,2012,1421312,18622316,18063824
Minnesota,2012,799736,10681609,10696348
Mississippi,2012,490619,4477828,4423270
Missouri,2012,893221,10022622,9910617
Montana,2012,142237,1628318,1652537
Nebraska,2012,300941,3764056,3880517
Nevada,2012,428526,4053945,4109706
New Hampshire,2012,190778,2963221,2961684
New Jersey,2012,1330300,27574528,26432652
New Mexico,2012,328690,3478709,3616691
New York,2012,2644029,58981073,60216421
North Carolina,2012,1462172,12788659,13418244
North Dakota,2012,97555,1345371,1380563
Ohio,2012,1630865,22799205,22662376
Oklahoma,2012,664200,5824963,5594867
Oregon,2012,566525,6124872,6314092
Pennsylvania,2012,1644759,27881568,27851918
Rhode Island,2012,137400,2208278,2190431
South Carolina,2012,715744,7889771,7948441
South Dakota,2012,127726,1298723,1296971
Tennessee,2012,998638,8983224,9256522
Texas,2012,4844744,49979753,50215314
Utah,2012,553873,4217360,4330417
Vermont,2012,87968,1754161,1726321
Virginia,2012,1257332,14940479,15129464
Washington,2012,1044856,11955582,12187889
West Virginia,2012,282088,3970941,3536971
Wisconsin,2012,863314,11139967,10724377
Wyoming,2012,89994,1664983,1670728
Alabama,2013,744548,7197439,7487741
Alaska,2013,131091,2545117,2665933
Arizona,2013,941726,8164324,7600581
Arkansas,2013,477716,5067546,5226339
California,2013,6208733,68868516,69727119
Colorado,2013,851063,8826868,8699125
Connecticut,2013,517812,10319361,9758850
Delaware,2013,118685,1930466,1924626
District of Columbia,2013,44179,1300036,1308438
Florida,2013,2680074,24681548,25245400
Georgia,2013,1682620,17459504,17317504
Hawaii,2013,184760,2331770,2345917
Idaho,2013,272070,2015534,1967676
Illinois,2013,2069823,30057886,29517831
Indiana,2013,1002772,12236713,11211155
Iowa,2013,499489,6281345,6318241
Kansas,2013,488590,5667223,5621023
Kentucky,2013,685009,7216175,7413896
Louisiana,2013,671156,8121179,7940880
Maine,2013,184682,2650346,2535405
Maryland,2013,859252,13814727,13284637
Massachusetts,2013,920968,16114783,16201905
Michigan,2013,1381167,18270327,17468264
Minnesota,2013,802454,10848720,10942019
Mississippi,2013,492847,4444064,4370050
Missouri,2013,897224,10103589,10001763
Montana,2013,142797,1671053,1679521
Nebraska,2013,303242,3870164,3913038
Nevada,2013,431776,4131800,4057443
New Hampshire,2013,187703,2976317,2878534
New Jersey,2013,1338657,28070096,28179900
New Mexico,2013,327209,3518621,3536546
New York,2013,2629805,59623918,60505950
North Carolina,2013,1468228,12729402,13650536
North Dakota,2013,101025,1405349,1516575
Ohio,2013,1613718,22536516,22015797
Oklahoma,2013,671445,5878111,5796945
Oregon,2013,564006,6077498,6228197
Pennsylvania,2013,1623694,28484645,28495118
Rhode Island,2013,136401,2282659,2231413
South Carolina,2013,722249,8254462,8224795
South Dakota,2013,130296,1316613,1332496
Tennessee,2013,992461,9008032,9248235
Texas,2013,4897523,49734537,50674724
Utah,2013,562315,4300793,4584624
Vermont,2013,89200,1817307,1809138
Virginia,2013,1264880,15322318,15634918
Washington,2013,1050901,12242231,12097549
West Virginia,2013,282310,3486366,3488877
Wisconsin,2013,863737,11097447,10845059
Wyoming,2013,91533,1695967,1675477
Alabama,2014,740081,7357267,7587737
Alaska,2014,130539,2663647,2727056
Arizona,2014,943937,8361708,8109460
Arkansas,2014,479881,5193218,5242672
California,2014,6224685,72389126,72506810
Colorado,2014,865231,9162406,9286626
Connecticut,2014,511082,10743919,10201500
Delaware,2014,120623,1954374,1988535
District of Columbia,2014,44942,1342220,1313289
Florida,2014,2708022,26077462,26523658
Georgia,2014,1699185,17821620,17668352
Hawaii,2014,186825,2696766,2504144
Idaho,2014,281452,2084970,2012852
Illinois,2014,2060632,31085621,31080869
Indiana,2014,1007121,12399402,11136045
Iowa,2014,501763,6455928,6541553
Kansas,2014,496034,5813985,5957954
Kentucky,2014,686789,7229857,7346219
Louisiana,2014,665441,8352703,8140649
Maine,2014,178709,2675648,2550302
Maryland,2014,865768,13982544,13712839
Massachusetts,2014,920558,16609204,16518383
Michigan,2014,1363533,18457253,17358365
Minnesota,2014,804580,11168633,11300786
Mississippi,2014,492421,4480105,4463078
Missouri,2014,892992,10256615,10324249
Montana,2014,144034,1729712,1754324
Nebraska,2014,307398,4005091,4008633
Nevada,2014,435765,4203255,4043820
New Hampshire,2014,184846,3042994,2960615
New Jersey,2014,1335350,28454548,27742203
New Mexico,2014,326637,3601387,3576216
New York,2014,2619312,61337112,62556193
North Carolina,2014,1441391,13462754,13540706
North Dakota,2014,103272,1568997,1597210
Ohio,2014,1601566,23297509,21847582
Oklahoma,2014,670069,6034336,6026661
Oregon,2014,566538,6621363,6453635
Pennsylvania,2014,1605292,29068069,28620630
Rhode Island,2014,135084,2313010,2258076
South Carolina,2014,729386,8417698,8452743
South Dakota,2014,130653,1345549,1355439
Tennessee,2014,992583,9237782,9432883
Texas,2014,4949469,52776853,53096761
Utah,2014,570423,4405929,4385896
Vermont,2014,87990,1895044,1876197
Virginia,2014,1273211,15347862,15690444
Washington,2014,1057773,13040197,12806300
West Virginia,2014,280265,3514889,3499873
Wisconsin,2014,865119,11330253,11255186
Wyoming,2014,92732,1772633,1775999
Alabama,2015,734974,7360222,7501799
Alaska,2015,130755,2920986,2968341
Arizona,2015,944978,8230507,7902600
Arkansas,2015,479682,5308625,5350543
California,2015,6226523,78248042,78365958
Colorado,2015,872320,9648297,9557682
Connecticut,2015,505366,11099837,10542667
Delaware,2015,121845,2017075,1975093
District of Columbia,2015,46155,1382282,1360942
Florida,2015,2743641,26971491,27277049
Georgia,2015,1717805,18584666,18501103
Hawaii,2015,182384,2703683,2521004
Idaho,2015,274131,2167967,2029520
Illinois,2015,2047123,32096832,32410033
Indiana,2015,1004215,12456571,11378564
Iowa,2015,505311,6714410,6772654
Kansas,2015,496920,5991731,6175724
Kentucky,2015,688475,7548871,7554887
Louisiana,2015,661015,8448743,8437263
Maine,2015,176176,2739589,2596180
Maryland,2015,874108,14491642,13882823
Massachusetts,2015,916130,16985185,16972319
Michigan,2015,1345009,19025996,17742903
Minnesota,2015,807044,11684249,11969872
Mississippi,2015,490189,4592343,4624539
Missouri,2015,892779,10623391,10540353
Montana,2015,144447,1804339,1804841
Nebraska,2015,312281,4248695,4283846
Nevada,2015,438948,4345419,4183085
New Hampshire,2015,183039,3093061,3044720
New Jersey,2015,1339230,29335237,28809725
New Mexico,2015,326297,3789651,3846641
New York,2015,2631532,63712218,65094591
North Carolina,2015,1465031,13146934,14060699
North Dakota,2015,106061,1644533,1804762
Ohio,2015,1600222,24378660,22561728
Oklahoma,2015,671715,6121188,6184819
Oregon,2015,570376,7111710,7011609
Pennsylvania,2015,1589429,29967185,29690645
Rhode Island,2015,134574,2367068,2326473
South Carolina,2015,737401,8759944,8783362
South Dakota,2015,132836,1415149,1464781
Tennessee,2015,994530,9455920,9562527
Texas,2015,5004866,55582029,56255791
Utah,2015,573913,4705084,4537962
Vermont,2015,85184,1996795,1969415
Virginia,2015,1279867,15857524,16113212
Washington,2015,1072359,13709442,13630138
West Virginia,2015,279565,3478401,3466981
Wisconsin,2015,861813,11637376,11553677
Wyoming,2015,93867,1962874,1942406
Alabama,2016,734652,7498567,7708845
Alaska,2016,132477,2494691,2623014
Arizona,2016,938274,8503034,7987011
Arkansas,2016,479177,5401016,5434193
California,2016,6217031,89217262,85320133
Colorado,2016,880678,10123271,9878524
Connecticut,2016,499494,11419673,10826431
Delaware,2016,121225,2043577,2041952
District of Columbia,2016,48336,1329719,1322563
Florida,2016,2776933,28125598,27945116
Georgia,2016,1727085,19403453,19158388
Hawaii,2016,181995,3030519,2733094
Idaho,2016,274849,2266490,2100980
Illinois,2016,2030717,32908958,33037244
Indiana,2016,1002696,12732161,11535287
Iowa,2016,508014,6919477,6972412
Kansas,2016,495545,6069563,6134836
Kentucky,2016,686440,7745928,7786281
Louisiana,2016,660561,8397136,8248660
Maine,2016,179879,2845391,2706103
Maryland,2016,879196,14409321,13992191
Massachusetts,2016,921029,17484704,17037880
Michigan,2016,1335713,19416061,18001445
Minnesota,2016,811157,12186135,12848946
Mississippi,2016,486245,4755399,4631356
Missouri,2016,891554,10893231,10719882
Montana,2016,145240,1800909,1879789
Nebraska,2016,315542,4398811,4640422
Nevada,2016,441623,4482886,4374249
New Hampshire,2016,179682,3150473,3124778
New Jersey,2016,1364473,30012666,29665476
New Mexico,2016,319861,3765069,3729397
New York,2016,2590945,66912661,68282026
North Carolina,2016,1462036,13448045,14207389
North Dakota,2016,108384,1788749,1963630
Ohio,2016,1595024,23766529,23352516
Oklahoma,2016,672777,6103728,6184152
Oregon,2016,574252,7418055,7501954
Pennsylvania,2016,1572593,31077289,30925177
Rhode Island,2016,133856,2401541,2358654
South Carolina,2016,743320,9161667,9187299
South Dakota,2016,134045,1455737,1475864
Tennessee,2016,999265,9585331,9680512
Texas,2016,5053291,58284155,59314884
Utah,2016,580215,4952923,4923657
Vermont,2016,87974,2112365,2082696
Virginia,2016,1283493,16259274,16497520
Washington,2016,1083973,14964364,15253296
West Virginia,2016,276764,3391579,3366566
Wisconsin,2016,857736,11697466,11787535
Wyoming,2016,94511,2044669,2034229
